earn,male,education,ethnicity,age,height,weight
25000.0,0,18.0,White,67,66,190.0
16500.0,0,14.0,White,43,64,116.0
15000.0,1,12.0,White,73,68,170.0
4000.0,0,9.0,White,68,64,190.0
3840.0,0,9.0,White,52,67,342.0
5000.0,0,6.0,White,78,60,90.0
22000.0,1,12.0,White,39,71,200.0
200.0,0,16.0,White,53,60,135.0
26000.0,0,16.0,White,27,66,140.0
2500.0,0,15.0,White,21,66,120.0
17000.0,0,14.0,White,39,65,125.0
25000.0,0,16.0,White,35,63,112.0
8000.0,0,13.0,White,22,70,130.0
25000.0,1,12.0,White,31,68,215.0
0.0,0,13.0,White,63,65,98.0
12000.0,0,13.0,White,68,66,138.0
10000.0,0,12.0,White,47,62,123.0
5000.0,0,8.0,White,77,60,105.0
100000.0,1,16.0,White,51,76,220.0
10000.0,0,15.0,White,67,66,140.0
0.0,0,14.0,White,38,64,173.0
15000.0,1,12.0,White,39,72,185.0
45000.0,0,12.0,Other,43,66,190.0
15000.0,1,11.0,Black,73,69,190.0
2400.0,0,8.0,Hispanic,39,67,115.0
30000.0,1,12.0,Hispanic,32,68,150.0
30000.0,1,12.0,White,33,70,150.0
10000.0,0,12.0,White,38,62,125.0
5000.0,0,13.0,White,26,63,137.0
12000.0,0,13.0,White,63,66,125.0
20000.0,0,10.0,White,61,70,80.0
20000.0,0,12.0,White,36,68,160.0
20000.0,1,14.0,White,23,70,160.0
25000.0,0,18.0,White,57,65,125.0
5000.0,0,8.0,White,82,68,110.0
0.0,0,12.0,White,59,66,133.0
25000.0,1,18.0,White,76,71,180.0
1200.0,0,12.0,White,20,66,135.0
5000.0,0,12.0,White,69,62,130.0
700.0,0,16.0,White,32,68,120.0
20000.0,1,16.0,White,27,70,150.0
10000.0,0,12.0,Hispanic,22,61,110.0
30000.0,0,12.0,White,73,63,128.0
25000.0,1,8.0,Hispanic,63,72,185.0
40000.0,0,14.0,White,56,64,200.0
25000.0,1,12.0,White,89,67,155.0
45000.0,0,18.0,White,65,66,135.0
10000.0,0,17.0,White,79,61,130.0
60000.0,0,18.0,White,63,69,132.0
45000.0,0,12.0,White,56,62,103.0
0.0,0,12.0,White,21,64,150.0
18000.0,0,12.0,White,66,68,130.0
15000.0,0,12.0,White,74,60,128.0
50000.0,1,18.0,White,42,71,155.0
16040.0,0,12.0,White,33,64,155.0
15000.0,0,14.0,Black,30,67,140.0
10000.0,1,17.0,White,23,69,160.0
33000.0,0,13.0,White,43,67,185.0
18000.0,0,12.0,White,30,68,130.0
15000.0,0,12.0,White,37,63,105.0
21000.0,1,12.0,White,22,71,145.0
21000.0,0,17.0,Black,43,64,124.0
37000.0,1,11.0,White,37,68,170.0
38000.0,0,17.0,White,44,68,126.0
17000.0,0,14.0,Hispanic,43,66,142.0
0.0,0,12.0,White,29,66,130.0
0.0,0,16.0,Other,32,66,130.0
15000.0,0,16.0,White,91,60,100.0
32000.0,1,16.0,White,30,77,210.0
27500.0,0,12.0,White,58,67,160.0
15000.0,1,12.0,White,76,66,140.0
16500.0,0,12.0,White,44,62,120.0
0.0,0,17.0,White,30,64,118.0
0.0,0,12.0,White,51,72,175.0
25000.0,0,18.0,White,35,67,150.0
27000.0,0,18.0,White,43,61,116.0
5000.0,0,12.0,White,28,64,220.0
70000.0,0,16.0,White,38,62,125.0
5000.0,0,12.0,White,40,63,150.0
5000.0,1,16.0,White,24,68,135.0
62000.0,1,18.0,Other,30,69,158.0
15000.0,0,12.0,Black,59,64,160.0
20000.0,0,15.0,White,26,64,158.0
4000.0,1,15.0,White,21,72,185.0
75000.0,1,12.0,White,39,72,172.0
60000.0,0,16.0,White,35,64,130.0
5000.0,0,13.0,White,31,61,150.0
30000.0,1,12.0,White,38,74,230.0
70000.0,1,14.0,White,35,70,165.0
5000.0,0,16.0,White,60,64,115.0
50000.0,1,16.0,White,41,71,195.0
44000.0,0,12.0,White,39,63,120.0
40000.0,1,18.0,White,40,73,215.0
30000.0,0,14.0,White,43,64,133.0
15000.0,1,14.0,Black,24,73,200.0
35000.0,0,15.0,White,31,63,150.0
0.0,0,16.0,White,32,62,130.0
10000.0,0,16.0,White,40,62,140.0
23000.0,0,17.0,White,42,70,170.0
0.0,0,12.0,White,39,62,115.0
45000.0,1,17.0,White,62,71,175.0
15000.0,1,14.0,White,31,71,170.0
4000.0,0,14.0,White,71,70,169.0
17000.0,1,14.0,White,31,67,160.0
30000.0,0,12.0,White,32,64,130.0
27500.0,0,12.0,White,30,67,112.0
5688.0,0,8.0,White,69,62,140.0
18000.0,0,13.0,Hispanic,56,62,137.0
35000.0,1,14.0,White,36,67,170.0
45000.0,0,17.0,White,32,66,160.0
43000.0,1,13.0,Black,44,68,185.0
32000.0,0,14.0,Black,44,62,140.0
25000.0,0,12.0,Black,20,62,118.0
0.0,0,5.0,Black,51,66,148.0
10000.0,0,18.0,Black,56,68,165.0
50000.0,0,12.0,Hispanic,38,65,130.0
15000.0,1,12.0,White,20,74,160.0
60000.0,1,13.0,White,45,74,185.0
30000.0,1,15.0,White,23,71,175.0
21000.0,0,12.0,Other,50,68,150.0
2400.0,0,16.0,White,22,62,110.0
5000.0,0,10.0,White,50,68,240.0
35000.0,0,15.0,Black,42,62,150.0
1000.0,0,15.0,White,28,66,136.0
27000.0,1,12.0,White,27,68,170.0
6600.0,0,14.0,Hispanic,28,60,115.0
16000.0,1,8.0,White,43,68,164.0
90000.0,1,12.0,White,26,72,185.0
8000.0,0,12.0,White,42,66,185.0
20000.0,1,10.0,White,32,68,150.0
15000.0,0,12.0,White,18,68,130.0
12000.0,0,12.0,White,60,69,180.0
25000.0,0,9.0,White,67,63,170.0
24000.0,0,16.0,White,46,64,128.0
20000.0,0,14.0,White,39,65,175.0
19000.0,0,12.0,White,46,61,128.0
25000.0,1,8.0,White,53,71,180.0
10000.0,1,12.0,White,49,72,172.0
40000.0,0,16.0,White,34,66,125.0
62000.0,1,8.0,Black,35,69,175.0
25000.0,0,13.0,Black,38,63,105.0
0.0,0,10.0,White,57,62,
0.0,0,10.0,Hispanic,48,60,145.0
10000.0,0,8.0,White,88,62,138.0
25000.0,1,14.0,White,64,68,160.0
25000.0,1,12.0,White,24,70,150.0
25000.0,1,14.0,White,32,71,165.0
19000.0,1,16.0,White,61,71,209.0
44000.0,1,16.0,White,48,68,210.0
0.0,0,12.0,White,19,66,145.0
0.0,0,18.0,White,55,63,140.0
15000.0,0,14.0,White,49,60,105.0
17000.0,0,12.0,White,36,63,137.0
24000.0,1,12.0,White,56,68,150.0
50000.0,1,16.0,White,38,70,150.0
23000.0,0,12.0,White,37,64,170.0
13000.0,1,12.0,White,74,70,143.0
20000.0,0,,Black,72,66,178.0
45000.0,0,12.0,White,49,66,
65000.0,1,16.0,White,46,68,180.0
7000.0,0,12.0,White,63,61,135.0
40000.0,1,18.0,White,63,68,180.0
15000.0,0,17.0,White,43,66,145.0
20000.0,1,16.0,White,25,70,164.0
25000.0,1,6.0,White,77,68,150.0
20000.0,1,12.0,White,50,71,175.0
5000.0,1,9.0,White,67,63,175.0
20000.0,0,12.0,White,42,65,195.0
25000.0,0,12.0,White,49,66,150.0
15000.0,0,14.0,White,20,64,110.0
49000.0,1,13.0,White,37,70,195.0
25000.0,1,8.0,White,24,70,165.0
0.0,0,12.0,White,36,64,102.0
0.0,0,16.0,White,35,63,150.0
25000.0,0,12.0,White,65,62,158.0
30000.0,0,12.0,White,67,65,160.0
25000.0,0,12.0,White,62,66,142.0
35000.0,0,16.0,White,72,60,125.0
11000.0,0,14.0,White,57,66,128.0
16000.0,0,15.0,White,38,61,160.0
35000.0,1,14.0,White,43,72,145.0
125000.0,1,18.0,White,45,74,240.0
23000.0,0,12.0,White,47,67,185.0
17000.0,0,16.0,White,28,66,170.0
0.0,0,13.0,White,31,62,125.0
27000.0,0,12.0,White,41,62,115.0
70000.0,1,14.0,White,32,72,180.0
35000.0,0,15.0,White,47,65,170.0
10000.0,0,12.0,White,62,60,150.0
15000.0,0,13.0,White,30,64,107.0
35000.0,0,15.0,White,39,62,135.0
15000.0,0,12.0,White,38,66,130.0
12000.0,0,12.0,White,39,64,250.0
8000.0,1,12.0,White,68,71,135.0
8000.0,0,12.0,White,50,65,130.0
35000.0,1,18.0,White,50,73,225.0
45000.0,1,11.0,White,51,69,175.0
0.0,0,12.0,White,58,64,175.0
5000.0,0,12.0,White,27,64,118.0
15000.0,0,14.0,White,22,64,123.0
15000.0,0,12.0,White,77,61,136.0
24000.0,0,18.0,White,51,67,240.0
25000.0,0,13.0,White,32,62,189.0
25000.0,0,14.0,Black,54,63,165.0
20000.0,1,10.0,Other,28,67,105.0
24000.0,0,12.0,White,24,68,140.0
44000.0,1,16.0,White,46,72,165.0
69000.0,1,12.0,White,38,70,187.0
62000.0,1,18.0,White,44,70,188.0
25000.0,0,15.0,Black,65,60,145.0
32000.0,1,14.0,Black,32,67,170.0
20000.0,0,12.0,Black,33,63,125.0
32000.0,0,18.0,Other,35,66,112.0
25000.0,0,17.0,White,50,66,135.0
170000.0,1,18.0,White,45,71,185.0
0.0,0,11.0,Black,29,66,185.0
35000.0,1,16.0,White,33,67,170.0
40000.0,1,16.0,Black,38,76,194.0
33000.0,1,14.0,White,30,69,155.0
18000.0,0,12.0,White,22,65,145.0
30000.0,0,13.0,White,43,62,120.0
26000.0,0,12.0,White,31,62,112.0
5000.0,0,12.0,White,21,62,120.0
5000.0,0,12.0,White,18,69,163.0
20000.0,0,16.0,White,73,62,130.0
17000.0,0,12.0,White,30,61,105.0
32000.0,0,14.0,White,28,65,138.0
15000.0,1,14.0,White,22,72,170.0
0.0,0,17.0,White,41,66,120.0
50000.0,1,14.0,White,55,72,248.0
8000.0,0,12.0,White,39,64,138.0
40000.0,1,14.0,White,51,71,190.0
40000.0,1,15.0,White,41,72,185.0
32750.0,1,12.0,White,34,66,130.0
5000.0,1,12.0,White,20,68,170.0
20000.0,0,14.0,White,69,65,185.0
36000.0,0,15.0,Black,39,65,128.0
6000.0,0,12.0,White,64,62,170.0
12000.0,0,14.0,Hispanic,34,66,160.0
60000.0,1,14.0,White,63,67,150.0
40000.0,0,13.0,White,44,64,135.0
5000.0,1,13.0,Hispanic,19,74,185.0
43000.0,0,12.0,White,38,63,117.0
45000.0,0,16.0,White,34,67,150.0
6000.0,0,18.0,White,39,68,190.0
8000.0,0,10.0,Other,82,64,154.0
20000.0,0,13.0,Black,39,64,170.0
17000.0,1,12.0,Black,23,66,165.0
2000.0,0,12.0,White,32,65,112.0
65000.0,1,12.0,White,28,65,180.0
50000.0,1,12.0,White,41,72,180.0
0.0,0,11.0,White,54,68,128.0
0.0,0,11.0,White,29,63,170.0
15000.0,1,13.0,White,21,70,220.0
11000.0,0,12.0,White,38,68,140.0
35000.0,1,18.0,White,30,74,190.0
27000.0,1,12.0,White,33,63,185.0
3500.0,0,12.0,White,61,64,135.0
15000.0,0,7.0,White,77,65,132.0
42000.0,1,12.0,White,37,68,180.0
15000.0,0,12.0,White,61,61,200.0
20000.0,0,18.0,White,29,67,130.0
15000.0,0,12.0,White,29,67,125.0
10000.0,1,12.0,White,21,73,207.0
0.0,0,12.0,White,48,62,105.0
6000.0,1,8.0,White,78,70,176.0
25000.0,1,12.0,White,80,71,200.0
17000.0,0,16.0,Hispanic,23,65,200.0
35000.0,1,16.0,Hispanic,65,69,148.0
28000.0,1,14.0,White,28,77,203.0
15000.0,0,12.0,White,33,68,165.0
20000.0,0,17.0,White,24,62,110.0
20000.0,0,12.0,White,29,64,128.0
10500.0,1,12.0,Hispanic,42,67,150.0
13000.0,1,16.0,White,22,70,165.0
10000.0,0,12.0,White,52,62,123.0
3000.0,0,12.0,White,37,63,170.0
24000.0,0,14.0,White,29,62,116.0
0.0,0,17.0,White,41,63,117.0
17000.0,0,13.0,White,35,69,160.0
11000.0,0,12.0,White,48,64,122.0
0.0,0,14.0,White,37,64,154.0
32000.0,0,14.0,White,40,69,185.0
17000.0,0,15.0,White,26,59,95.0
15000.0,0,16.0,White,47,61,115.0
25000.0,0,12.0,White,75,60,125.0
136500.0,1,12.0,White,49,72,225.0
3000.0,0,12.0,Other,35,66,
15000.0,0,8.0,White,60,63,160.0
0.0,0,12.0,White,41,65,150.0
25000.0,1,18.0,White,58,70,200.0
5000.0,1,14.0,White,48,72,250.0
2100.0,0,12.0,Black,21,62,125.0
15000.0,1,10.0,Black,82,70,148.0
15000.0,0,13.0,White,76,60,120.0
15000.0,0,12.0,Black,29,66,140.0
15000.0,1,12.0,Hispanic,34,64,160.0
15000.0,1,16.0,White,23,71,180.0
5000.0,1,12.0,Black,27,73,250.0
3192.0,1,11.0,Black,34,75,180.0
15000.0,0,12.0,Other,25,62,110.0
17000.0,0,17.0,White,26,63,123.0
30000.0,0,13.0,White,28,65,150.0
15000.0,1,12.0,White,32,70,135.0
5000.0,0,16.0,White,26,64,110.0
24000.0,0,16.0,White,42,68,170.0
10000.0,0,14.0,White,67,65,154.0
50000.0,1,8.0,White,53,69,150.0
15000.0,0,11.0,White,77,64,170.0
50000.0,1,16.0,White,53,72,168.0
136500.0,1,12.0,White,38,69,160.0
20000.0,0,17.0,White,49,64,150.0
30000.0,0,18.0,Hispanic,54,63,108.0
5000.0,0,18.0,White,41,68,122.0
0.0,0,12.0,White,63,64,135.0
0.0,0,10.0,White,48,66,130.0
25000.0,1,12.0,White,37,70,165.0
0.0,0,5.0,White,58,63,134.0
22000.0,0,14.0,White,45,73,180.0
27000.0,1,12.0,White,24,75,200.0
4000.0,0,12.0,White,38,65,210.0
35000.0,0,16.0,White,41,64,140.0
17500.0,0,17.0,White,26,66,160.0
16500.0,0,14.0,White,28,66,112.0
28000.0,0,16.0,White,39,64,190.0
52000.0,0,18.0,White,50,66,140.0
15000.0,0,16.0,White,29,64,108.0
19000.0,0,13.0,White,32,63,140.0
0.0,0,13.0,White,44,63,125.0
5000.0,0,12.0,Black,19,67,132.0
15000.0,0,12.0,White,34,69,135.0
27000.0,1,12.0,White,23,73,170.0
15000.0,1,8.0,White,58,72,171.0
0.0,0,12.0,White,24,66,196.0
15000.0,1,14.0,White,33,72,195.0
14500.0,0,12.0,White,55,64,150.0
24000.0,0,13.0,White,30,64,106.0
5000.0,0,12.0,White,18,61,115.0
18000.0,1,15.0,White,36,68,145.0
4000.0,0,12.0,White,68,62,118.0
15000.0,0,12.0,White,85,64,129.0
4000.0,0,13.0,White,57,69,
20000.0,0,15.0,White,53,66,160.0
700.0,0,12.0,White,36,60,98.0
25000.0,0,15.0,White,33,64,123.0
24000.0,0,12.0,White,91,65,220.0
15000.0,0,12.0,White,60,60,125.0
27000.0,1,12.0,White,39,76,215.0
12000.0,0,12.0,White,35,72,
400000.0,1,12.0,White,33,72,185.0
22000.0,0,18.0,White,47,62,145.0
30000.0,0,13.0,White,36,62,140.0
45000.0,1,16.0,White,35,70,160.0
35000.0,1,12.0,White,61,71,205.0
20000.0,1,12.0,White,42,74,195.0
32000.0,0,16.0,White,32,65,138.0
6000.0,0,12.0,Other,31,63,160.0
12000.0,0,12.0,White,39,67,150.0
0.0,0,16.0,White,44,65,128.0
10000.0,0,12.0,White,31,63,145.0
1000.0,0,12.0,White,18,65,126.0
12000.0,0,15.0,White,71,64,136.0
16000.0,0,12.0,White,36,65,140.0
15000.0,0,13.0,White,27,63,125.0
0.0,0,16.0,White,41,68,240.0
25000.0,0,16.0,White,33,63,140.0
25000.0,0,12.0,White,27,70,135.0
32000.0,1,12.0,White,30,68,180.0
35000.0,1,14.0,White,43,67,165.0
25000.0,1,12.0,White,24,68,130.0
25000.0,0,12.0,White,23,66,135.0
6000.0,0,12.0,White,28,65,125.0
80000.0,1,14.0,White,44,69,165.0
20000.0,0,14.0,White,25,68,145.0
1000.0,0,17.0,White,38,66,187.0
28000.0,1,13.0,Hispanic,38,71,165.0
26000.0,1,16.0,Hispanic,23,64,125.0
27000.0,1,12.0,White,24,74,210.0
18000.0,0,13.0,White,41,62,112.0
2000.0,0,12.0,White,59,65,200.0
20000.0,1,12.0,White,66,69,195.0
15000.0,1,12.0,Black,19,72,185.0
6000.0,0,16.0,White,48,66,221.0
15000.0,1,11.0,White,32,70,180.0
15000.0,0,12.0,White,74,61,170.0
0.0,0,10.0,White,68,60,110.0
5000.0,1,12.0,White,19,70,190.0
5000.0,0,11.0,White,21,73,130.0
15000.0,0,12.0,White,74,66,160.0
45000.0,0,12.0,Hispanic,36,57,130.0
25000.0,1,11.0,White,63,67,210.0
12000.0,1,12.0,White,29,73,180.0
0.0,0,18.0,White,26,65,115.0
15000.0,0,12.0,White,45,62,120.0
12000.0,1,12.0,White,57,76,165.0
30000.0,1,14.0,White,76,70,175.0
0.0,0,12.0,White,30,64,160.0
4000.0,0,15.0,Black,22,63,130.0
5000.0,0,11.0,Black,18,67,185.0
26000.0,0,13.0,Black,37,63,115.0
5000.0,0,9.0,White,53,69,190.0
15000.0,0,9.0,White,23,67,200.0
15000.0,0,12.0,Black,30,66,180.0
5000.0,0,12.0,Black,25,61,140.0
23000.0,1,12.0,Black,35,70,164.0
21000.0,1,12.0,White,33,71,175.0
25000.0,0,12.0,White,62,65,135.0
18000.0,1,16.0,White,75,70,157.0
4000.0,0,13.0,White,44,63,150.0
23900.0,0,12.0,White,22,64,116.0
35000.0,1,12.0,White,68,68,145.0
35000.0,0,18.0,White,40,64,123.0
26000.0,1,14.0,White,30,67,140.0
25000.0,1,16.0,White,36,66,172.0
23500.0,0,13.0,White,27,68,118.0
12000.0,0,12.0,White,22,65,135.0
15000.0,0,12.0,White,20,67,140.0
25000.0,0,8.0,White,67,61,165.0
3000.0,1,17.0,White,23,73,210.0
15000.0,0,12.0,White,68,63,200.0
20000.0,0,12.0,White,37,66,145.0
6000.0,0,12.0,White,67,64,200.0
14000.0,1,12.0,White,69,71,160.0
15000.0,0,16.0,White,31,63,123.0
175000.0,1,16.0,White,48,71,180.0
0.0,0,12.0,White,51,63,118.0
62000.0,0,16.0,White,70,64,128.0
1000.0,1,18.0,White,25,73,170.0
10000.0,0,14.0,White,63,65,140.0
45000.0,1,13.0,White,82,66,120.0
15000.0,0,12.0,White,81,66,120.0
45000.0,0,15.0,White,79,60,135.0
50000.0,0,18.0,White,52,68,165.0
20000.0,0,13.0,White,41,59,140.0
5000.0,1,12.0,White,42,70,215.0
35000.0,1,16.0,White,30,70,165.0
40000.0,1,16.0,White,28,72,152.0
35000.0,0,12.0,White,72,64,135.0
25000.0,1,12.0,White,33,72,200.0
50000.0,0,16.0,White,54,66,170.0
100000.0,1,18.0,White,57,70,205.0
35000.0,1,13.0,White,28,69,145.0
0.0,0,12.0,White,51,66,115.0
24000.0,0,12.0,White,35,68,175.0
0.0,0,12.0,White,30,64,120.0
25000.0,0,14.0,White,35,67,140.0
0.0,0,12.0,White,60,63,124.0
35000.0,1,17.0,White,43,74,268.0
38000.0,1,16.0,White,74,73,230.0
35000.0,1,13.0,White,29,70,200.0
25000.0,0,8.0,White,76,60,130.0
30000.0,1,12.0,White,52,67,160.0
5000.0,0,12.0,Hispanic,39,64,136.0
148000.0,1,18.0,White,38,67,160.0
30000.0,1,12.0,White,32,70,165.0
6500.0,0,15.0,White,31,64,120.0
3000.0,0,16.0,White,37,62,95.0
25000.0,1,15.0,White,75,72,175.0
0.0,0,8.0,White,53,66,200.0
23000.0,1,18.0,White,69,69,230.0
45000.0,1,18.0,White,65,82,175.0
35000.0,0,16.0,White,36,63,150.0
40000.0,1,17.0,White,41,68,155.0
30000.0,1,14.0,White,39,72,180.0
0.0,0,14.0,White,29,63,210.0
14000.0,0,12.0,White,37,63,210.0
15000.0,0,12.0,White,34,69,
26000.0,0,18.0,White,36,64,120.0
8000.0,0,12.0,White,25,71,195.0
24000.0,0,16.0,Black,27,64,123.0
0.0,1,8.0,White,20,72,135.0
0.0,0,12.0,White,25,62,125.0
0.0,0,10.0,White,38,66,180.0
15000.0,1,12.0,White,40,72,200.0
5124.0,1,8.0,White,67,66,140.0
10000.0,0,15.0,White,25,61,110.0
5000.0,0,7.0,White,38,64,165.0
5000.0,0,13.0,Black,20,62,111.0
0.0,0,13.0,White,19,69,125.0
12000.0,0,16.0,White,32,68,145.0
0.0,0,12.0,White,23,66,155.0
50000.0,1,17.0,White,34,68,180.0
136500.0,1,16.0,White,41,71,158.0
23000.0,0,13.0,White,26,64,125.0
0.0,0,16.0,White,40,61,118.0
25000.0,0,12.0,White,69,68,155.0
5000.0,0,9.0,White,69,63,174.0
5000.0,0,12.0,White,91,65,138.0
5000.0,0,12.0,White,18,64,110.0
15000.0,0,12.0,White,38,65,130.0
5000.0,0,14.0,White,19,64,125.0
40000.0,1,14.0,Black,34,66,130.0
6000.0,0,13.0,Black,26,62,124.0
100000.0,1,18.0,White,77,71,170.0
5000.0,0,16.0,Black,30,65,160.0
45000.0,0,8.0,White,52,64,190.0
25000.0,0,12.0,Black,26,60,120.0
110000.0,1,18.0,White,37,66,156.0
25000.0,0,13.0,White,37,61,102.0
41000.0,1,13.0,Hispanic,32,72,145.0
25000.0,0,12.0,White,55,70,145.0
23000.0,0,13.0,White,78,63,130.0
15000.0,0,14.0,White,78,68,132.0
0.0,0,12.0,White,32,63,120.0
21000.0,1,12.0,White,23,70,165.0
4000.0,0,12.0,White,29,62,150.0
25000.0,1,12.0,White,36,71,280.0
30000.0,1,18.0,White,46,70,170.0
14000.0,0,11.0,White,51,64,159.0
6000.0,0,12.0,White,35,63,115.0
14000.0,0,12.0,White,46,65,144.0
43000.0,1,12.0,White,27,71,175.0
25000.0,0,15.0,White,33,62,128.0
40000.0,1,12.0,White,66,73,195.0
25000.0,0,16.0,White,73,64,135.0
65000.0,1,17.0,White,40,68,220.0
16000.0,1,15.0,White,32,76,210.0
136500.0,1,16.0,White,65,73,196.0
87000.0,1,18.0,White,54,70,160.0
8000.0,0,12.0,White,71,66,120.0
20000.0,0,15.0,White,39,64,
14000.0,0,14.0,White,72,60,
45000.0,1,12.0,White,74,68,140.0
8000.0,0,11.0,White,72,61,180.0
15000.0,0,10.0,White,71,65,185.0
12000.0,1,12.0,White,28,66,130.0
8000.0,0,14.0,White,31,63,132.0
16000.0,0,15.0,White,32,63,105.0
25000.0,0,12.0,White,43,67,
6000.0,1,15.0,White,73,74,170.0
136500.0,0,12.0,White,45,66,160.0
19000.0,1,12.0,White,32,70,180.0
21000.0,0,13.0,White,39,68,155.0
43000.0,0,18.0,White,46,70,131.0
35000.0,1,15.0,White,21,69,190.0
8000.0,1,10.0,White,75,70,175.0
21000.0,0,14.0,White,41,63,125.0
5800.0,0,12.0,White,30,65,135.0
17000.0,1,12.0,White,46,69,185.0
45000.0,0,12.0,White,42,65,120.0
24000.0,1,14.0,White,49,68,140.0
5000.0,0,11.0,White,71,62,140.0
62000.0,1,11.0,White,48,70,185.0
11000.0,0,12.0,White,23,66,150.0
10000.0,1,13.0,White,27,65,225.0
40000.0,1,14.0,White,36,70,185.0
0.0,0,12.0,Black,37,66,163.0
40000.0,1,12.0,White,47,70,170.0
24000.0,0,14.0,Black,29,66,165.0
50000.0,1,18.0,Black,34,68,160.0
25000.0,0,12.0,White,25,68,
24000.0,1,16.0,White,26,68,160.0
20000.0,1,16.0,White,33,68,120.0
15000.0,0,16.0,White,23,63,120.0
60000.0,1,18.0,White,50,70,195.0
11000.0,0,13.0,White,47,65,155.0
5000.0,0,15.0,White,40,64,115.0
136500.0,0,17.0,White,84,63,113.0
87000.0,1,18.0,White,39,69,180.0
27000.0,0,16.0,White,30,65,135.0
89000.0,1,16.0,White,41,77,241.0
40000.0,1,14.0,White,28,70,175.0
15000.0,0,16.0,White,26,64,120.0
1000.0,0,14.0,White,20,64,130.0
0.0,0,12.0,White,28,62,180.0
22000.0,0,12.0,White,60,64,
12000.0,0,8.0,White,48,64,184.0
22000.0,0,16.0,White,28,63,125.0
40000.0,0,12.0,Black,56,58,180.0
25000.0,1,10.0,Black,55,73,182.0
